company_name,careers_url,job_card_selector,title_selector,location_selector,link_selector,enabled,notes
# Weekly scraper company list - customize this list with companies to check weekly
# These jobs will only be reported if NOT already found by the daily scraper
#
# Example entries (uncomment and modify as needed):
# Company Name,https://example.com/careers,.job-card,h3,.location,a,true,Notes about this company
Accenture,https://www.accenture.com/us-en/careers/jobsearch?jk=salesforce,".job-item, [data-job-id]",.job-title,.job-location,a,true,Major consulting firm
Silverline,https://www.silverlinecrm.com/careers/,.career-opening,"h3, .position-title",.location,a,true,SF Partner
Perficient,https://careers.perficient.com/us/en/search-results?keywords=salesforce,.job-tile,.job-title,.job-location,a,true,SF consulting
HubSpot,https://www.hubspot.com/careers/jobs?page=1&query=salesforce,"[data-test=""job-card""]",h3,"[data-test=""location""]",a,false,Tech company - navigation timeout
Zoom,https://careers.zoom.us/jobs/search?query=salesforce,.job-card,.job-title,.location,a,true,Tech company
DocuSign,https://www.docusign.com/company/careers/open-positions?search=salesforce,[data-jobid],.job-title,.job-location,a,false,Tech company - navigation timeout
Michelin,https://jobs.michelinman.com/search/?q=salesforce,"tr.data-row, .job-listing","a.jobTitle-link, .job-title",".jobLocation, .location",a.jobTitle-link,true,Local - Greenville SC
Prisma Health,https://careers.prismahealth.org/search/?q=salesforce,tr[data-job-id],a.jobTitle,.jobLocation,a.jobTitle,true,Local - Greenville SC
Heller Consulting,https://www.hellerconsulting.com/careers/,.job-opening,h3,.location,a,true,Nonprofit focus
Fíonta,https://www.fionta.com/careers/,.career-opportunity,"h3, .title",.location,a,true,Nonprofit focus
Newsela,https://newsela.com/about/careers/,"[data-job-id], .job-listing",".job-title, h3",.location,a,true,EdTech - Education Cloud
Instructure,https://www.instructure.com/about/careers?search=salesforce,.job-card,.job-title,.location,a,true,EdTech - Canvas LMS
Robert Half,https://www.roberthalf.com/us/en/jobs?keywords=salesforce,.job-tile,.job-title,.job-location,a,true,Staffing agency
Apex Systems,https://www.apexsystems.com/jobs/search?q=salesforce,.job-result,.job-title,.location,a,true,Staffing agency
Stripe,https://stripe.com/jobs/search?query=salesforce,[data-job-id],h3,.location,a,true,Tech company
Airtable,https://www.airtable.com/company/careers?search=salesforce,.job-posting,.job-title,.location,a,true,Tech company
Wiz,https://www.wiz.io/careers,"[class*=""job""]",.job-title,.location,a,true,Cloud security
Zenkraft,https://zenkraft.com/careers/,.career-listing,.position-title,.location,a,true,Trailblazer company
